Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/TotalSteps,Train/StopIter,Train/KL,Train/LR,Loss/Loss_reward_critic,Loss/Loss_cost_critic,Loss/Loss_actor,Time/Rollout,Time/Update,Time/Total,Value/RewardAdv,Value/CostAdv
-691.4126457785134,0.0,1000.0,1,20000,40,0.01128275878727436,0.00029939999999999996,25.373585809457797,0.0021383979401969427,-0.011422127697203225,15.372958183288574,100.78256797790527,116.15552806854248,-9.803771661154315e-08,-1.2755393408170335e-09
-660.6806727332454,0.0,1000.0,2,40000,40,0.015541414730250835,0.00029879999999999994,28.02387655687789,0.00015664562067079863,-0.016479774298943792,17.427493810653687,101.04171061515808,118.46920585632324,-9.613037121880552e-08,-4.857778623801323e-10
-627.7088502319403,0.0,1000.0,3,60000,40,0.015911538153886795,0.00029819999999999993,33.0128583850952,1.2346331004228675e-05,-0.017689570958075967,17.271023750305176,101.89969301223755,119.17071795463562,-4.4441222257773916e-08,-1.8291175518658775e-10
-582.145742756396,0.0,1000.0,4,80000,40,0.017654137685894966,0.0002975999999999999,30.081316558773906,8.456871164155611e-06,-0.020871732786547737,17.41950011253357,98.69253945350647,116.11204123497009,1.6403197022896165e-08,-2.8755515746325955e-09
-536.3696013940951,0.0,1000.0,5,100000,33,0.020522115752100945,0.0002969999999999999,22.135584494603407,5.8323042143164425e-06,-0.02411659331959809,17.43510341644287,81.5084707736969,98.94357585906982,3.433227391269611e-08,-2.0468606809487255e-09
-499.58919323030375,0.0,1000.0,6,120000,30,0.02006099559366703,0.0002963999999999999,23.32204047630643,4.018820442812067e-06,-0.023127701618789007,18.60133981704712,73.91639566421509,92.517737865448,-5.6457519548303026e-08,7.72066410803518e-10
-461.7227032671402,0.0,1000.0,7,140000,27,0.020017074421048164,0.00029579999999999987,29.98220176299554,2.8019724613893048e-06,-0.02176784367149923,18.685261964797974,66.72184348106384,85.40710687637329,0.0,3.3080577166444414e-10
-409.7446652083621,0.0,1000.0,8,160000,25,0.020566299557685852,0.0002951999999999999,30.019596912518097,1.952073760275817e-06,-0.02203650437390652,18.609240531921387,61.30197763442993,79.9112195968628,1.7166137400437265e-09,-4.395842578830411e-10
-345.63156368546373,0.012,1000.0,9,180000,16,0.020333368331193924,0.0002945999999999999,33.6161345988036,0.0008664706624184833,-0.019205198251213074,19.21372961997986,38.6443350315094,57.85806655883789,4.1961669694501325e-09,0.0
-292.2176984093478,0.04900000000000001,1000.0,10,200000,13,0.020963596180081367,0.0002939999999999999,22.732674757600506,0.0004345257556468921,-0.017898196514497214,18.857748985290527,31.338597297668457,50.196349143981934,1.1444091230217168e-09,9.536742923144104e-11
